2025-01-26 10:20:34.263  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 10:26:27.175  [info] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:11
2025-01-26 10:26:58.828  [info] hala, madrid - Caller: /log_test.go:11
2025-01-26 10:27:49.192  [info] hala, madrid - Caller: /log_test.go:11
2025-01-26 10:28:05.432  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 10:28:27.225  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 11:46:20.162  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 11:47:41.602  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 11:47:41.602  [warn] hala, madrid - Caller: log_test.go:13
2025-01-26 11:50:02.846  [error] hala, madrid - Caller: log_test.go:10
2025-01-26 11:50:02.846  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 11:50:02.846  [warn] hala, madrid - Caller: log_test.go:13
2025-01-26 11:51:12.334  [error] hala, madrid - Caller: log_test.go:10
2025-01-26 11:51:12.334  [info] hala, madrid - Caller: log_test.go:11
2025-01-26 11:51:12.334  [warn] hala, madrid - Caller: log_test.go:13
2025-01-26 11:51:12.334  [fatal] hala, madrid - Caller: log_test.go:14
2025-01-31 09:32:42.089  [error] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:10
2025-01-31 09:32:42.089  [info] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:11
2025-01-31 09:32:42.089  [warn] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:13
2025-01-31 09:32:42.089  [fatal] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:14
2025-01-31 09:33:36.401  [error] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:10
2025-01-31 09:33:36.401  [info] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:11
2025-01-31 09:33:36.401  [warn] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:13
2025-01-31 09:33:36.401  [fatal] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:14
2025-01-31 09:33:52.957  [error] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:10
2025-01-31 09:33:52.957  [info] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:11
2025-01-31 09:33:52.957  [warn] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:13
2025-01-31 09:33:52.957  [fatal] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:14
2025-01-31 09:34:09.660  [error] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:10
2025-01-31 09:34:09.661  [info] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:11
2025-01-31 09:34:09.661  [warn] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:13
2025-01-31 09:34:09.661  [fatal] hala, madrid - Caller: /home/cargo/Documents/git/cargo/log_test.go:14
